Product_ID,Product_Name,Catagory,Supplier_ID,Supplier_Name,Stock_Quantity,Reorder_Level,Reorder_Quantity,Unit_Price,Date_Received,Last_Order_Date,Expiration_Date,Warehouse_Location,Sales_Volume,Inventory_Turnover_Rate,Status
98-588-6577,Samsung Pro Dishwasher (Arctic Silver) #8051,Home Entertainment,46-816-2506,HomeSmart,212,85,298,"$30,389.93 ",1/1/2026,5/14/2026,,Zone-Y-189,128,47,Out of Stock
21-100-9637,Daikin Air Robot Vacuum (Space Gray) #9158,Personal Care,30-419-5145,VoltNext,379,88,123,"$43,369.59 ",1/1/2026,5/14/2026,,Zone-Y-60,11,20,Active
21-839-5210,Whirlpool Turbo Electric Kettle (Arctic Silver) #10896,Personal Care,59-801-8973,TechFlow,199,16,61,"$32,951.67 ",1/1/2026,5/14/2026,,Zone-W-152,5,65,Backordered
48-481-2474,Mitsubishi Turbo Refrigerator (Midnight Blue) #3249,Small Appliances,55-932-5043,TechFlow,351,63,265,"$16,684.30 ",1/1/2026,5/14/2026,,Zone-Z-164,510,55,Discontinued
69-590-2107,Philips Turbo Air Conditioner (Space Gray) #5640,Home Entertainment,31-367-2569,ElectroMax,257,58,183,"$20,815.29 ",1/1/2026,5/14/2026,,Zone-X-86,981,56,Discontinued
28-160-5200,Philips Max Electric Kettle (Rose Gold) #10485,Laundry,43-358-5457,EliteTech,454,47,151,"$69,946.89 ",1/1/2026,5/14/2026,,Zone-W-73,790,38,Discontinued
37-734-4491,Miele Turbo Air Conditioner (Midnight Blue) #5947,Home Entertainment,87-427-7467,ElectroMax,14,80,205,"$12,433.73 ",1/1/2026,5/14/2026,,Zone-X-159,293,84,Backordered
63-129-3156,Philips Ultra Air Purifier (Space Gray) #10920,Home Entertainment,95-894-9654,TechFlow,338,89,137,"$9,125.96 ",1/1/2026,5/14/2026,,Zone-Z-91,199,92,Backordered
43-145-3397,Daikin Pro Refrigerator (Pearl White) #2963,Personal Care,79-382-3648,ElectroMax,148,41,108,"$78,444.25 ",1/1/2026,5/14/2026,,Zone-W-50,738,82,Discontinued
73-546-4659,Sharp Turbo Robot Vacuum (Space Gray) #9243,Kitchen,87-873-8251,NanoGear,226,84,97,"$50,227.57 ",1/1/2026,5/14/2026,,Zone-Y-175,702,11,Discontinued
21-848-2851,Philips Turbo Dishwasher (Pearl White) #7590,Home Entertainment,30-708-3180,NanoGear,279,81,250,"$68,757.10 ",1/1/2026,5/14/2026,,Zone-W-182,607,85,Active
33-398-7491,Miele Turbo Robot Vacuum (Jet Black) #9847,Kitchen,95-151-6110,NanoGear,440,80,61,"$9,539.06 ",1/1/2026,5/14/2026,,Zone-X-110,956,54,Out of Stock
47-260-5380,Tefal Ultra OLED TV (Midnight Blue) #1321,Small Appliances,26-103-4042,HomeSmart,241,51,155,"$8,963.89 ",1/1/2026,5/14/2026,,Zone-W-109,281,66,Discontinued
55-287-4495,Sharp Prime Refrigerator (Arctic Silver) #3678,Laundry,34-837-4562,ElectroMax,93,25,71,"$44,839.75 ",1/1/2026,5/14/2026,,Zone-X-65,257,79,Out of Stock
65-284-8544,Philips Prime Air Conditioner (Space Gray) #5625,Small Appliances,73-307-3640,CoreElectronics,201,28,272,"$8,591.27 ",1/1/2026,5/14/2026,,Zone-Z-61,36,31,Backordered
58-434-8732,Mitsubishi Turbo Air Conditioner (Midnight Blue) #5949,Kitchen,38-937-5925,HomeSmart,330,54,83,"$27,198.06 ",1/1/2026,5/14/2026,,Zone-Y-153,256,9,Active
42-844-8488,Panasonic Smart Robot Vacuum (Pearl White) #9328,Laundry,83-685-6847,CoreElectronics,359,77,187,"$67,089.76 ",1/1/2026,5/14/2026,,Zone-W-100,917,87,Backordered
88-461-3976,Hitachi Max Washing Machine (Jet Black) #4337,Cleaning,85-701-9610,EliteTech,220,32,73,"$36,583.71 ",1/1/2026,5/14/2026,,Zone-W-89,8,90,Discontinued
27-113-3288,Xiaomi Max Microwave (Pearl White) #6589,Kitchen,11-324-9541,ElectroMax,284,54,103,"$70,481.55 ",1/1/2026,5/14/2026,,Zone-Z-80,232,79,Active
65-637-3207,Whirlpool Neo OLED TV (Pearl White) #1251,Cooling,85-313-7183,CoreElectronics,201,75,228,"$52,333.57 ",1/1/2026,5/14/2026,,Zone-Z-166,528,79,Backordered
36-603-7794,Daikin Elite Dryer (Midnight Blue) #4973,Laundry,50-145-2142,CoreElectronics,410,52,259,"$5,286.50 ",1/1/2026,5/14/2026,,Zone-W-164,411,39,Backordered
48-860-6522,Sony Max Dishwasher (Midnight Blue) #7630,Small Appliances,65-814-2465,CoreElectronics,397,77,169,"$75,033.99 ",1/1/2026,5/14/2026,,Zone-Z-130,550,76,Backordered
87-831-7333,Miele Turbo Microwave (Space Gray) #6547,Cooling,14-697-5028,HomeSmart,270,27,174,"$13,453.70 ",1/1/2026,5/14/2026,,Zone-W-177,616,70,Out of Stock
12-139-6858,Philips Max OLED TV (Space Gray) #1035,Laundry,43-634-4660,HomeSmart,28,50,269,"$72,401.90 ",1/1/2026,5/14/2026,,Zone-W-154,768,58,Out of Stock
13-691-8423,Hitachi Classic Robot Vacuum (Pearl White) #9362,Personal Care,68-592-9968,VoltNext,73,49,233,"$56,630.35 ",1/1/2026,5/14/2026,,Zone-Z-41,920,19,Active
39-942-2242,Daikin Pro QLED TV (Jet Black) #2513,Cooling,12-299-8007,NanoGear,371,54,60,"$62,941.14 ",1/1/2026,5/14/2026,,Zone-Y-168,156,41,Backordered
80-517-6958,LG Ultra Electric Kettle (Midnight Blue) #10317,Small Appliances,58-236-6017,EliteTech,96,24,198,"$49,711.38 ",1/1/2026,5/14/2026,,Zone-Z-136,735,74,Out of Stock
25-227-8391,Xiaomi Max OLED TV (Space Gray) #1039,Laundry,20-148-3157,NanoGear,420,91,122,"$27,565.31 ",1/1/2026,5/14/2026,,Zone-Z-90,840,11,Discontinued
77-303-7266,Dyson Ultra Air Conditioner (Midnight Blue) #5819,Cooling,28-116-7258,VoltNext,337,71,94,"$14,285.61 ",1/1/2026,5/14/2026,,Zone-X-122,985,98,Backordered
38-298-7036,Sony Ultra Washing Machine (Arctic Silver) #4465,Cooling,16-243-8575,VoltNext,379,73,67,"$29,998.87 ",1/1/2026,5/14/2026,,Zone-W-157,692,14,Out of Stock
51-957-9059,Philips Classic QLED TV (Arctic Silver) #2760,Personal Care,83-877-4574,TechFlow,401,86,140,"$41,682.00 ",1/1/2026,5/14/2026,,Zone-X-57,428,66,Out of Stock
67-249-3565,Xiaomi Air Refrigerator (Rose Gold) #3304,Kitchen,17-959-4335,ElectroMax,130,74,193,"$62,652.03 ",1/1/2026,5/14/2026,,Zone-Z-92,21,58,Active
40-805-2264,Panasonic Prime Dryer (Space Gray) #4723,Home Entertainment,26-301-5344,CoreElectronics,176,27,212,"$37,728.78 ",1/1/2026,5/14/2026,,Zone-W-29,755,71,Discontinued
49-544-6760,Dyson Max Robot Vacuum (Pearl White) #9284,Kitchen,54-265-8216,TechFlow,216,76,202,"$35,482.24 ",1/1/2026,5/14/2026,,Zone-Y-73,173,40,Active
80-374-3948,Daikin Max Air Conditioner (Rose Gold) #5993,Laundry,72-100-9784,EliteTech,252,18,172,"$77,274.46 ",1/1/2026,5/14/2026,,Zone-Y-1,806,49,Discontinued
55-307-2760,Miele Ultra Robot Vacuum (Space Gray) #9127,Laundry,21-539-4098,TechFlow,329,84,261,$708.20 ,1/1/2026,5/14/2026,,Zone-Z-47,210,42,Discontinued
11-763-6699,LG Max Washing Machine (Midnight Blue) #4032,Small Appliances,13-104-2626,NanoGear,171,73,52,"$63,238.97 ",1/1/2026,5/14/2026,,Zone-W-196,34,82,Backordered
63-605-5382,Panasonic Turbo Vacuum Cleaner (Jet Black) #8938,Kitchen,16-240-8501,HomeSmart,72,44,84,"$26,394.96 ",1/1/2026,5/14/2026,,Zone-Z-120,839,39,Out of Stock
93-261-3461,Xiaomi Max Washing Machine (Midnight Blue) #4039,Personal Care,29-281-6644,NanoGear,420,21,65,"$72,392.89 ",1/1/2026,5/14/2026,,Zone-X-190,328,31,Backordered
84-884-8831,Bosch Air Electric Kettle (Jet Black) #10655,Kitchen,73-215-9695,HomeSmart,14,71,274,"$8,858.01 ",1/1/2026,5/14/2026,,Zone-Y-196,695,84,Backordered
65-356-4399,Bosch Turbo Refrigerator (Jet Black) #3545,Cooling,98-261-8108,HomeSmart,113,77,183,"$11,319.78 ",1/1/2026,5/14/2026,,Zone-X-31,332,15,Out of Stock
33-584-5457,Miele Max Refrigerator (Arctic Silver) #3592,Laundry,23-689-9860,EliteTech,324,63,246,"$2,162.99 ",1/1/2026,5/14/2026,,Zone-Z-31,790,75,Discontinued
35-508-6440,Panasonic Turbo QLED TV (Pearl White) #2188,Cooling,55-618-6313,ElectroMax,72,22,241,"$28,108.37 ",1/1/2026,5/14/2026,,Zone-Y-157,73,36,Backordered
68-621-5846,Samsung Ultra Vacuum Cleaner (Arctic Silver) #8966,Cleaning,76-983-5569,VoltNext,192,87,133,"$77,114.74 ",1/1/2026,5/14/2026,,Zone-Z-4,359,17,Active
75-752-6751,LG Smart Microwave (Jet Black) #7077,Small Appliances,45-381-1995,EliteTech,301,28,273,"$66,154.23 ",1/1/2026,5/14/2026,,Zone-Z-181,207,62,Active
47-758-1243,LG Classic OLED TV (Space Gray) #1107,Small Appliances,65-522-7289,NanoGear,439,81,182,"$58,590.06 ",1/1/2026,5/14/2026,,Zone-Y-132,42,37,Discontinued
40-116-2846,Bosch Classic QLED TV (Midnight Blue) #2315,Small Appliances,94-390-9537,VoltNext,39,51,226,"$79,255.70 ",1/1/2026,5/14/2026,,Zone-Y-7,946,27,Active
44-758-8301,Miele Smart Robot Vacuum (Space Gray) #9187,Personal Care,34-966-6040,EliteTech,109,87,70,"$15,497.37 ",1/1/2026,5/14/2026,,Zone-Y-133,435,61,Out of Stock
11-530-4484,Sharp Air Washing Machine (Space Gray) #3753,Kitchen,36-131-3360,ElectroMax,351,41,186,"$3,919.60 ",1/1/2026,5/14/2026,,Zone-Y-149,807,66,Active
80-745-6060,Panasonic Pro Electric Kettle (Arctic Silver) #10753,Laundry,47-852-4746,VoltNext,11,20,135,"$44,512.89 ",1/1/2026,5/14/2026,,Zone-W-135,285,22,Out of Stock
43-445-1844,Tefal Smart Microwave (Arctic Silver) #7231,Kitchen,60-803-4755,NanoGear,492,96,88,"$9,515.07 ",1/1/2026,5/14/2026,,Zone-Y-161,970,34,Active
82-338-3300,Whirlpool Ultra Washing Machine (Pearl White) #3876,Small Appliances,65-840-1335,VoltNext,95,36,214,"$21,917.92 ",1/1/2026,5/14/2026,,Zone-Z-172,78,93,Discontinued
24-631-9213,Daikin Elite Air Conditioner (Arctic Silver) #6323,Kitchen,55-863-6337,CoreElectronics,371,97,63,"$54,243.89 ",1/1/2026,5/14/2026,,Zone-Z-19,663,87,Backordered
52-495-4942,Dyson Air OLED TV (Arctic Silver) #1799,Home Entertainment,40-972-5937,GlobalAppliance,476,35,247,"$65,146.25 ",1/1/2026,5/14/2026,,Zone-W-106,390,80,Active
16-447-7881,Sony Prime Washing Machine (Arctic Silver) #4570,Cleaning,97-646-7996,NanoGear,34,92,100,"$63,126.30 ",1/1/2026,5/14/2026,,Zone-Y-43,361,75,Active
50-524-4140,Mitsubishi Max Washing Machine (Pearl White) #3894,Cleaning,83-688-9973,CoreElectronics,382,70,227,"$55,608.83 ",1/1/2026,5/14/2026,,Zone-W-87,691,88,Backordered
48-101-2478,LG Smart Washing Machine (Pearl White) #3927,Laundry,97-552-7972,EliteTech,48,99,294,"$48,383.06 ",1/1/2026,5/14/2026,,Zone-W-94,691,75,Discontinued
10-825-4397,Panasonic Smart Robot Vacuum (Space Gray) #9178,Cooling,26-140-1043,CoreElectronics,27,46,105,"$37,523.49 ",1/1/2026,5/14/2026,,Zone-W-39,175,80,Backordered
83-216-1097,Whirlpool Elite QLED TV (Space Gray) #1971,Home Entertainment,12-538-7915,EliteTech,316,11,169,"$39,187.41 ",1/1/2026,5/14/2026,,Zone-X-164,318,84,Backordered
97-341-4693,Miele Smart Dishwasher (Midnight Blue) #7687,Cooling,17-594-1364,HomeSmart,226,73,100,"$78,210.74 ",1/1/2026,5/14/2026,,Zone-X-48,861,65,Active
52-592-3138,Bosch Ultra Robot Vacuum (Rose Gold) #9575,Kitchen,36-888-7775,TechFlow,336,73,134,"$30,800.06 ",1/1/2026,5/14/2026,,Zone-Y-96,156,56,Backordered
72-586-9652,Bosch Elite Refrigerator (Pearl White) #3020,Cooling,64-387-2837,NanoGear,100,59,180,"$79,074.78 ",1/1/2026,5/14/2026,,Zone-W-150,287,98,Discontinued
83-722-1589,Xiaomi Air Electric Kettle (Space Gray) #10054,Small Appliances,44-139-3077,CoreElectronics,141,27,110,"$68,865.46 ",1/1/2026,5/14/2026,,Zone-Z-149,289,45,Out of Stock
10-895-5342,Hitachi Air QLED TV (Space Gray) #1952,Kitchen,17-539-4558,CoreElectronics,47,90,72,"$75,838.16 ",1/1/2026,5/14/2026,,Zone-Z-151,842,41,Discontinued
22-131-6119,Dyson Classic Air Conditioner (Arctic Silver) #6359,Small Appliances,39-457-9050,NanoGear,341,89,163,"$39,991.93 ",1/1/2026,5/14/2026,,Zone-Z-109,456,72,Active
85-894-2315,LG Classic Dryer (Pearl White) #4857,Cooling,33-805-3707,TechFlow,202,21,59,"$39,610.87 ",1/1/2026,5/14/2026,,Zone-Y-40,225,2,Active
32-488-2100,Whirlpool Pro Microwave (Rose Gold) #6861,Home Entertainment,65-918-7820,GlobalAppliance,141,46,182,"$40,140.88 ",1/1/2026,5/14/2026,,Zone-X-44,158,84,Backordered
41-969-3303,Bosch Turbo Washing Machine (Midnight Blue) #4145,Small Appliances,35-762-6449,NanoGear,361,30,276,"$40,974.56 ",1/1/2026,5/14/2026,,Zone-Z-135,831,1,Discontinued
92-139-2557,Philips Pro Washing Machine (Jet Black) #4305,Kitchen,16-652-7910,TechFlow,109,32,274,"$28,451.42 ",1/1/2026,5/14/2026,,Zone-X-121,521,10,Out of Stock
80-761-1811,Tefal Pro Washing Machine (Midnight Blue) #4006,Small Appliances,63-187-6284,EliteTech,146,51,283,"$11,487.96 ",1/1/2026,5/14/2026,,Zone-Z-109,198,12,Out of Stock
34-855-5074,Samsung Pro Electric Kettle (Space Gray) #10001,Small Appliances,93-583-8616,ElectroMax,327,55,99,"$65,539.97 ",1/1/2026,5/14/2026,,Zone-Z-30,563,81,Active
86-197-8199,Sony Prime Vacuum Cleaner (Rose Gold) #8770,Kitchen,58-103-1252,EliteTech,231,84,237,"$18,647.89 ",1/1/2026,5/14/2026,,Zone-Y-1,707,58,Active
32-287-8075,Daikin Smart Vacuum Cleaner (Pearl White) #8438,Kitchen,67-443-1436,ElectroMax,243,68,199,"$47,769.18 ",1/1/2026,5/14/2026,,Zone-Z-54,453,12,Active
77-154-4472,Hitachi Turbo Vacuum Cleaner (Jet Black) #8942,Home Entertainment,36-369-7173,CoreElectronics,353,14,74,"$22,298.27 ",1/1/2026,5/14/2026,,Zone-Z-7,206,13,Active
35-230-1324,Daikin Smart Electric Kettle (Pearl White) #10238,Kitchen,37-187-8319,TechFlow,395,15,93,"$28,590.34 ",1/1/2026,5/14/2026,,Zone-Y-81,495,31,Backordered
29-167-2996,Tefal Pro QLED TV (Pearl White) #2056,Kitchen,54-896-1000,GlobalAppliance,64,53,55,"$27,852.81 ",1/1/2026,5/14/2026,,Zone-Z-94,828,14,Out of Stock
54-923-5491,Dyson Pro Washing Machine (Rose Gold) #4154,Home Entertainment,42-602-5954,NanoGear,15,80,70,"$38,533.17 ",1/1/2026,5/14/2026,,Zone-X-88,706,24,Active
57-624-7630,Hitachi Max Dryer (Pearl White) #4787,Personal Care,44-831-2108,VoltNext,192,59,263,"$40,233.87 ",1/1/2026,5/14/2026,,Zone-Y-77,415,28,Backordered
11-548-1901,Xiaomi Max Electric Kettle (Pearl White) #10189,Laundry,29-264-9895,CoreElectronics,366,20,87,"$52,885.92 ",1/1/2026,5/14/2026,,Zone-Y-70,631,13,Out of Stock
45-360-5601,Bosch Ultra Vacuum Cleaner (Jet Black) #8825,Small Appliances,35-973-9689,HomeSmart,302,35,60,"$16,029.76 ",1/1/2026,5/14/2026,,Zone-Z-145,45,20,Active
30-532-7474,Xiaomi Max Vacuum Cleaner (Midnight Blue) #8539,Home Entertainment,88-499-5971,TechFlow,15,54,281,"$18,005.47 ",1/1/2026,5/14/2026,,Zone-Z-126,879,96,Out of Stock
62-540-9404,Samsung Max Vacuum Cleaner (Space Gray) #8231,Cooling,31-914-1498,ElectroMax,166,79,68,"$27,630.58 ",1/1/2026,5/14/2026,,Zone-W-66,820,67,Out of Stock
29-650-3114,Mitsubishi Pro OLED TV (Arctic Silver) #1764,Personal Care,45-553-6324,GlobalAppliance,339,89,295,"$21,058.48 ",1/1/2026,5/14/2026,,Zone-X-86,455,41,Active
49-704-8416,Xiaomi Elite Air Conditioner (Rose Gold) #6019,Kitchen,76-862-7730,ElectroMax,167,70,148,"$32,138.72 ",1/1/2026,5/14/2026,,Zone-X-12,979,17,Discontinued
75-365-8759,Daikin Neo Air Conditioner (Midnight Blue) #5903,Home Entertainment,22-859-7446,ElectroMax,394,94,230,"$32,882.63 ",1/1/2026,5/14/2026,,Zone-Z-153,647,87,Backordered
66-158-5959,Sharp Turbo Vacuum Cleaner (Arctic Silver) #9093,Small Appliances,97-656-2435,EliteTech,159,81,66,"$4,206.62 ",1/1/2026,5/14/2026,,Zone-Y-52,730,11,Discontinued
57-904-8327,Panasonic Neo Dishwasher (Rose Gold) #7843,Kitchen,67-796-7267,CoreElectronics,155,18,76,"$42,067.54 ",1/1/2026,5/14/2026,,Zone-Y-132,20,97,Backordered
33-623-5036,Philips Elite Refrigerator (Midnight Blue) #3165,Laundry,22-613-6542,GlobalAppliance,283,42,94,"$49,364.75 ",1/1/2026,5/14/2026,,Zone-W-156,711,40,Active
25-169-4881,LG Elite Refrigerator (Space Gray) #2862,Cleaning,96-862-5349,TechFlow,23,65,121,"$54,802.88 ",1/1/2026,5/14/2026,,Zone-Z-100,793,87,Backordered
25-279-6484,Philips Air Vacuum Cleaner (Jet Black) #8850,Laundry,44-272-8746,TechFlow,280,16,106,"$76,847.30 ",1/1/2026,5/14/2026,,Zone-Y-161,49,63,Out of Stock
36-796-1905,Panasonic Prime Electric Kettle (Space Gray) #10123,Home Entertainment,37-559-1420,HomeSmart,448,18,255,"$55,224.64 ",1/1/2026,5/14/2026,,Zone-X-54,955,26,Discontinued
46-848-7916,Sony Neo Refrigerator (Rose Gold) #3340,Small Appliances,28-824-4604,CoreElectronics,217,77,227,"$24,736.59 ",1/1/2026,5/14/2026,,Zone-X-34,419,94,Discontinued
47-823-9749,Hitachi Prime Microwave (Space Gray) #6527,Home Entertainment,21-274-5064,VoltNext,59,19,77,"$46,996.70 ",1/1/2026,5/14/2026,,Zone-W-129,202,35,Out of Stock
96-733-3072,Sharp Turbo Dishwasher (Midnight Blue) #7743,Cleaning,51-201-2585,EliteTech,374,78,72,"$47,356.93 ",1/1/2026,5/14/2026,,Zone-Y-56,637,39,Active
43-256-8264,Daikin Neo Dryer (Midnight Blue) #5003,Personal Care,83-942-5701,HomeSmart,476,40,112,"$76,826.88 ",1/1/2026,5/14/2026,,Zone-Y-134,16,32,Discontinued
39-168-1293,Daikin Elite QLED TV (Pearl White) #2123,Personal Care,48-538-5674,NanoGear,362,94,236,"$34,161.71 ",1/1/2026,5/14/2026,,Zone-W-159,340,15,Active
52-185-3056,Xiaomi Pro Robot Vacuum (Jet Black) #9709,Small Appliances,12-327-4646,CoreElectronics,117,37,77,"$44,186.08 ",1/1/2026,5/14/2026,,Zone-X-9,329,69,Active
68-327-1337,Mitsubishi Turbo Dryer (Midnight Blue) #5049,Kitchen,28-667-3857,GlobalAppliance,490,90,207,$819.09 ,1/1/2026,5/14/2026,,Zone-X-110,517,3,Backordered
33-837-1949,Philips Turbo Vacuum Cleaner (Midnight Blue) #8640,Small Appliances,79-305-5400,VoltNext,148,57,50,"$75,992.87 ",1/1/2026,5/14/2026,,Zone-Y-91,969,20,Backordered
32-984-5032,Sony Ultra OLED TV (Arctic Silver) #1765,Small Appliances,18-871-7349,NanoGear,333,90,214,"$21,779.40 ",1/1/2026,5/14/2026,,Zone-W-51,848,24,Out of Stock
73-145-5941,Dyson Neo Refrigerator (Rose Gold) #3344,Cleaning,44-700-6631,EliteTech,88,28,299,"$63,588.08 ",1/1/2026,5/14/2026,,Zone-W-24,365,15,Discontinued
20-526-3043,Tefal Ultra Dryer (Rose Gold) #5071,Cooling,41-585-8958,HomeSmart,116,50,229,"$41,937.47 ",1/1/2026,5/14/2026,,Zone-Z-149,819,61,Discontinued
29-692-4578,Samsung Ultra Vacuum Cleaner (Space Gray) #8216,Home Entertainment,26-422-3394,GlobalAppliance,71,23,71,"$77,633.93 ",1/1/2026,5/14/2026,,Zone-Z-178,492,3,Backordered
70-220-9974,Samsung Ultra Dryer (Jet Black) #5216,Cleaning,37-532-2583,ElectroMax,9,20,154,"$38,032.88 ",1/1/2026,5/14/2026,,Zone-Y-188,577,44,Backordered
68-742-1335,LG Pro Vacuum Cleaner (Arctic Silver) #8952,Personal Care,39-620-9812,HomeSmart,197,86,286,"$12,563.16 ",1/1/2026,5/14/2026,,Zone-X-49,677,81,Active
57-590-4766,Sony Prime Microwave (Rose Gold) #6970,Personal Care,39-938-1366,ElectroMax,359,15,136,"$6,840.05 ",1/1/2026,5/14/2026,,Zone-Z-59,359,61,Backordered
55-668-5040,Philips Air Washing Machine (Jet Black) #4350,Cooling,94-603-9948,TechFlow,199,70,73,"$36,885.96 ",1/1/2026,5/14/2026,,Zone-Z-66,80,42,Backordered
36-380-6051,Sony Air Air Conditioner (Pearl White) #5695,Small Appliances,22-790-6920,EliteTech,224,80,95,"$32,425.09 ",1/1/2026,5/14/2026,,Zone-Z-62,34,75,Discontinued
57-709-9732,Xiaomi Neo Washing Machine (Jet Black) #4399,Laundry,75-558-7387,EliteTech,277,62,99,"$48,667.24 ",1/1/2026,5/14/2026,,Zone-Y-167,944,24,Discontinued
12-300-2273,Samsung Max Dryer (Rose Gold) #5081,Cooling,82-218-4215,TechFlow,332,11,82,"$66,877.75 ",1/1/2026,5/14/2026,,Zone-Z-104,277,72,Discontinued
28-582-5849,Mitsubishi Turbo Electric Kettle (Space Gray) #10149,Home Entertainment,68-715-9590,TechFlow,35,81,142,"$24,039.36 ",1/1/2026,5/14/2026,,Zone-X-99,292,34,Active
30-751-5483,Xiaomi Ultra QLED TV (Midnight Blue) #2224,Laundry,90-873-3427,VoltNext,368,84,158,"$71,013.19 ",1/1/2026,5/14/2026,,Zone-W-140,403,90,Discontinued
80-608-3970,Hitachi Turbo Microwave (Arctic Silver) #7292,Kitchen,17-837-2124,EliteTech,264,64,186,"$6,957.91 ",1/1/2026,5/14/2026,,Zone-Z-71,953,13,Active
43-519-2849,LG Prime Washing Machine (Midnight Blue) #4122,Laundry,88-658-5045,VoltNext,235,61,119,"$39,225.89 ",1/1/2026,5/14/2026,,Zone-X-97,776,1,Out of Stock
73-558-4860,Sony Elite OLED TV (Rose Gold) #1510,Cooling,26-948-3274,HomeSmart,222,63,250,"$74,083.32 ",1/1/2026,5/14/2026,,Zone-W-108,603,11,Backordered
15-651-3221,Dyson Neo Microwave (Midnight Blue) #6794,Home Entertainment,25-180-8461,ElectroMax,31,55,127,"$2,464.59 ",1/1/2026,5/14/2026,,Zone-Z-54,211,2,Active
85-862-8480,Tefal Smart Robot Vacuum (Space Gray) #9181,Cleaning,27-165-3513,ElectroMax,349,91,265,"$58,022.42 ",1/1/2026,5/14/2026,,Zone-W-144,311,30,Discontinued
44-720-2019,Miele Classic Electric Kettle (Midnight Blue) #10417,Cooling,58-248-5618,NanoGear,184,83,102,"$50,439.55 ",1/1/2026,5/14/2026,,Zone-Z-140,768,5,Out of Stock
