Product_Name,Electronics_Stock,Unit_Price,Sales_Volume,Inventory_Value
Hitachi Max Washing Machine (Jet Black) #4337,220.0,36583.71,8.0,8048416.2
Xiaomi Max Microwave (Pearl White) #6589,284.0,70481.55,232.0,20016760.2
Whirlpool Neo OLED TV (Pearl White) #1251,201.0,52333.57,528.0,10519047.57
Daikin Elite Dryer (Midnight Blue) #4973,410.0,5286.5,411.0,2167465.0
Sony Max Dishwasher (Midnight Blue) #7630,397.0,75033.99,550.0,29788494.03
Miele Turbo Microwave (Space Gray) #6547,270.0,13453.7,616.0,3632499.0
Philips Max OLED TV (Space Gray) #1035,28.0,72401.9,768.0,2027253.1999999997
Hitachi Classic Robot Vacuum (Pearl White) #9362,73.0,56630.35,920.0,4134015.55
Daikin Pro QLED TV (Jet Black) #2513,371.0,62941.14,156.0,23351162.94
LG Ultra Electric Kettle (Midnight Blue) #10317,96.0,49711.38,735.0,4772292.4799999995
Xiaomi Max OLED TV (Space Gray) #1039,420.0,27565.31,840.0,11577430.200000001
Dyson Ultra Air Conditioner (Midnight Blue) #5819,337.0,14285.61,985.0,4814250.57
Sony Ultra Washing Machine (Arctic Silver) #4465,379.0,29998.87,692.0,11369571.73
Philips Classic QLED TV (Arctic Silver) #2760,401.0,41682.0,428.0,16714482.0
Xiaomi Air Refrigerator (Rose Gold) #3304,130.0,62652.03,21.0,8144763.899999999
Panasonic Prime Dryer (Space Gray) #4723,176.0,37728.78,755.0,6640265.279999999
Dyson Max Robot Vacuum (Pearl White) #9284,216.0,35482.24,173.0,7664163.84
Daikin Max Air Conditioner (Rose Gold) #5993,252.0,77274.46,806.0,19473163.92
Miele Ultra Robot Vacuum (Space Gray) #9127,329.0,708.2,210.0,232997.80000000002
LG Max Washing Machine (Midnight Blue) #4032,171.0,63238.97,34.0,10813863.870000001
Panasonic Turbo Vacuum Cleaner (Jet Black) #8938,72.0,26394.96,839.0,1900437.1199999999
Xiaomi Max Washing Machine (Midnight Blue) #4039,420.0,72392.89,328.0,30405013.8
Bosch Air Electric Kettle (Jet Black) #10655,14.0,8858.01,695.0,124012.14
Bosch Turbo Refrigerator (Jet Black) #3545,113.0,11319.78,332.0,1279135.1400000001
Miele Max Refrigerator (Arctic Silver) #3592,324.0,2162.99,790.0,700808.7599999999
Panasonic Turbo QLED TV (Pearl White) #2188,72.0,28108.37,73.0,2023802.64
Samsung Ultra Vacuum Cleaner (Arctic Silver) #8966,192.0,77114.74,359.0,14806030.080000002
LG Smart Microwave (Jet Black) #7077,301.0,66154.23,207.0,19912423.23
LG Classic OLED TV (Space Gray) #1107,439.0,58590.06,42.0,25721036.34
Bosch Classic QLED TV (Midnight Blue) #2315,39.0,79255.7,946.0,3090972.3
Miele Smart Robot Vacuum (Space Gray) #9187,109.0,15497.37,435.0,1689213.33
Sharp Air Washing Machine (Space Gray) #3753,351.0,3919.6,807.0,1375779.5999999999
Panasonic Pro Electric Kettle (Arctic Silver) #10753,11.0,44512.89,285.0,489641.79
Tefal Smart Microwave (Arctic Silver) #7231,492.0,9515.07,970.0,4681414.4399999995
Whirlpool Ultra Washing Machine (Pearl White) #3876,95.0,21917.92,78.0,2082202.4
Daikin Elite Air Conditioner (Arctic Silver) #6323,371.0,54243.89,663.0,20124483.19
Dyson Air OLED TV (Arctic Silver) #1799,476.0,65146.25,390.0,31009615.0
Sony Prime Washing Machine (Arctic Silver) #4570,34.0,63126.3,361.0,2146294.2
Mitsubishi Max Washing Machine (Pearl White) #3894,382.0,55608.83,691.0,21242573.060000002
LG Smart Washing Machine (Pearl White) #3927,48.0,48383.06,691.0,2322386.88
Panasonic Smart Robot Vacuum (Space Gray) #9178,27.0,37523.49,175.0,1013134.23
Whirlpool Elite QLED TV (Space Gray) #1971,316.0,39187.41,318.0,12383221.56
Miele Smart Dishwasher (Midnight Blue) #7687,226.0,78210.74,861.0,17675627.240000002
Bosch Ultra Robot Vacuum (Rose Gold) #9575,336.0,30800.06,156.0,10348820.16
Bosch Elite Refrigerator (Pearl White) #3020,100.0,79074.78,287.0,7907478.0
Xiaomi Air Electric Kettle (Space Gray) #10054,141.0,68865.46,289.0,9710029.860000001
Hitachi Air QLED TV (Space Gray) #1952,47.0,75838.16,842.0,3564393.52
Dyson Classic Air Conditioner (Arctic Silver) #6359,341.0,39991.93,456.0,13637248.13
LG Classic Dryer (Pearl White) #4857,202.0,39610.87,225.0,8001395.74
Whirlpool Pro Microwave (Rose Gold) #6861,141.0,40140.88,158.0,5659864.08
Bosch Turbo Washing Machine (Midnight Blue) #4145,361.0,40974.56,831.0,14791816.159999998
Philips Pro Washing Machine (Jet Black) #4305,109.0,28451.42,521.0,3101204.78
Tefal Pro Washing Machine (Midnight Blue) #4006,146.0,11487.96,198.0,1677242.16
Samsung Pro Electric Kettle (Space Gray) #10001,327.0,65539.97,563.0,21431570.19
Sony Prime Vacuum Cleaner (Rose Gold) #8770,231.0,18647.89,707.0,4307662.59
Daikin Smart Vacuum Cleaner (Pearl White) #8438,243.0,47769.18,453.0,11607910.74
Hitachi Turbo Vacuum Cleaner (Jet Black) #8942,353.0,22298.27,206.0,7871289.3100000005
Daikin Smart Electric Kettle (Pearl White) #10238,395.0,28590.34,495.0,11293184.3
Tefal Pro QLED TV (Pearl White) #2056,64.0,27852.81,828.0,1782579.84
Dyson Pro Washing Machine (Rose Gold) #4154,15.0,38533.17,706.0,577997.5499999999
Hitachi Max Dryer (Pearl White) #4787,192.0,40233.87,415.0,7724903.040000001
Xiaomi Max Electric Kettle (Pearl White) #10189,366.0,52885.92,631.0,19356246.72
Bosch Ultra Vacuum Cleaner (Jet Black) #8825,302.0,16029.76,45.0,4840987.5200000005
Xiaomi Max Vacuum Cleaner (Midnight Blue) #8539,15.0,18005.47,879.0,270082.05000000005
Samsung Max Vacuum Cleaner (Space Gray) #8231,166.0,27630.58,820.0,4586676.28
Mitsubishi Pro OLED TV (Arctic Silver) #1764,339.0,21058.48,455.0,7138824.72
Xiaomi Elite Air Conditioner (Rose Gold) #6019,167.0,32138.72,979.0,5367166.24
Daikin Neo Air Conditioner (Midnight Blue) #5903,394.0,32882.63,647.0,12955756.219999999
Sharp Turbo Vacuum Cleaner (Arctic Silver) #9093,159.0,4206.62,730.0,668852.58
Panasonic Neo Dishwasher (Rose Gold) #7843,155.0,42067.54,20.0,6520468.7
Philips Elite Refrigerator (Midnight Blue) #3165,283.0,49364.75,711.0,13970224.25
LG Elite Refrigerator (Space Gray) #2862,23.0,54802.88,793.0,1260466.24
Philips Air Vacuum Cleaner (Jet Black) #8850,280.0,76847.3,49.0,21517244.0
Panasonic Prime Electric Kettle (Space Gray) #10123,448.0,55224.64,955.0,24740638.72
Sony Neo Refrigerator (Rose Gold) #3340,217.0,24736.59,419.0,5367840.03
Hitachi Prime Microwave (Space Gray) #6527,59.0,46996.7,202.0,2772805.3
Sharp Turbo Dishwasher (Midnight Blue) #7743,374.0,47356.93,637.0,17711491.82
Daikin Neo Dryer (Midnight Blue) #5003,476.0,76826.88,16.0,36569594.88
Daikin Elite QLED TV (Pearl White) #2123,362.0,34161.71,340.0,12366539.02
Xiaomi Pro Robot Vacuum (Jet Black) #9709,117.0,44186.08,329.0,5169771.36
Mitsubishi Turbo Dryer (Midnight Blue) #5049,490.0,819.09,517.0,401354.10000000003
Philips Turbo Vacuum Cleaner (Midnight Blue) #8640,148.0,75992.87,969.0,11246944.76
Sony Ultra OLED TV (Arctic Silver) #1765,333.0,21779.4,848.0,7252540.2
Dyson Neo Refrigerator (Rose Gold) #3344,88.0,63588.08,365.0,5595751.04
Tefal Ultra Dryer (Rose Gold) #5071,116.0,41937.47,819.0,4864746.5200000005
Samsung Ultra Vacuum Cleaner (Space Gray) #8216,71.0,77633.93,492.0,5512009.029999999
Samsung Ultra Dryer (Jet Black) #5216,9.0,38032.88,577.0,342295.92
LG Pro Vacuum Cleaner (Arctic Silver) #8952,197.0,12563.16,677.0,2474942.52
Sony Prime Microwave (Rose Gold) #6970,359.0,6840.05,359.0,2455577.95
Philips Air Washing Machine (Jet Black) #4350,199.0,36885.96,80.0,7340306.04
Sony Air Air Conditioner (Pearl White) #5695,224.0,32425.09,34.0,7263220.16
Xiaomi Neo Washing Machine (Jet Black) #4399,277.0,48667.24,944.0,13480825.479999999
Samsung Max Dryer (Rose Gold) #5081,332.0,66877.75,277.0,22203413.0
Mitsubishi Turbo Electric Kettle (Space Gray) #10149,35.0,24039.36,292.0,841377.6
Xiaomi Ultra QLED TV (Midnight Blue) #2224,368.0,71013.19,403.0,26132853.92
Hitachi Turbo Microwave (Arctic Silver) #7292,264.0,6957.91,953.0,1836888.24
LG Prime Washing Machine (Midnight Blue) #4122,235.0,39225.89,776.0,9218084.15
Sony Elite OLED TV (Rose Gold) #1510,222.0,74083.32,603.0,16446497.040000001
Dyson Neo Microwave (Midnight Blue) #6794,31.0,2464.59,211.0,76402.29000000001
Tefal Smart Robot Vacuum (Space Gray) #9181,349.0,58022.42,311.0,20249824.58
Miele Classic Electric Kettle (Midnight Blue) #10417,184.0,50439.55,768.0,9280877.200000001
Tefal Neo OLED TV (Space Gray) #1096,392.0,58686.62,148.0,23005155.040000003
Tefal Smart Dishwasher (Midnight Blue) #7681,382.0,9649.98,18.0,3686292.36
Miele Pro QLED TV (Jet Black) #2512,267.0,69256.58,124.0,18491506.86
Samsung Neo Robot Vacuum (Jet Black) #9791,382.0,78151.19,474.0,29853754.580000002
Mitsubishi Classic OLED TV (Space Gray) #1119,413.0,65196.67,706.0,26926224.71
Tefal Turbo Vacuum Cleaner (Rose Gold) #8791,248.0,41557.69,955.0,10306307.120000001
Hitachi Elite Dishwasher (Pearl White) #7517,332.0,25504.45,554.0,8467477.4
Panasonic Max OLED TV (Space Gray) #1033,179.0,50220.37,833.0,8989446.23
Miele Smart Vacuum Cleaner (Jet Black) #8887,105.0,77963.94,417.0,8186213.7
Philips Smart Dishwasher (Rose Gold) #7830,2.0,46734.48,115.0,93468.96
Tefal Ultra Microwave (Space Gray) #6421,153.0,32090.91,725.0,4909909.2299999995
Panasonic Ultra QLED TV (Pearl White) #2068,1.0,59802.36,640.0,59802.36
Miele Turbo QLED TV (Midnight Blue) #2347,379.0,68844.44,295.0,26092042.76
Hitachi Neo Air Conditioner (Pearl White) #5747,153.0,45995.01,290.0,7037236.53
Philips Pro Microwave (Jet Black) #7005,193.0,59045.52,72.0,11395785.36
Xiaomi Max Microwave (Jet Black) #7039,477.0,34042.43,44.0,16238239.11
Hitachi Elite Dryer (Pearl White) #4817,427.0,10073.08,470.0,4301205.16
Samsung Air Robot Vacuum (Midnight Blue) #9446,43.0,18926.48,651.0,813838.64
Dyson Ultra Air Conditioner (Arctic Silver) #6269,481.0,73584.43,280.0,35394110.83
Miele Turbo Dishwasher (Rose Gold) #7897,282.0,18702.96,959.0,5274234.72
Mitsubishi Air Air Conditioner (Arctic Silver) #6309,390.0,79198.59,784.0,30887450.099999998
Samsung Max OLED TV (Space Gray) #1031,59.0,61907.57,36.0,3652546.63
Dyson Prime Microwave (Pearl White) #6674,395.0,26339.7,821.0,10404181.5
Tefal Max Dryer (Arctic Silver) #5386,12.0,5568.32,6.0,66819.84
Mitsubishi Ultra OLED TV (Space Gray) #1029,325.0,31613.71,92.0,10274455.75
LG Pro Dryer (Jet Black) #5202,270.0,67427.44,694.0,18205408.8
Hitachi Pro Vacuum Cleaner (Midnight Blue) #8507,30.0,77903.81,313.0,2337114.3
Sony Turbo OLED TV (Jet Black) #1735,352.0,13115.71,317.0,4616729.92
Miele Classic Refrigerator (Pearl White) #3067,70.0,39351.85,860.0,2754629.5
Samsung Classic OLED TV (Space Gray) #1106,278.0,46715.2,130.0,12986825.6
Mitsubishi Max Electric Kettle (Jet Black) #10644,473.0,51453.58,570.0,24337543.34
Mitsubishi Max Robot Vacuum (Arctic Silver) #9894,128.0,53969.68,746.0,6908119.04
Bosch Elite Vacuum Cleaner (Arctic Silver) #9020,54.0,48508.81,949.0,2619475.7399999998
Miele Prime Refrigerator (Midnight Blue) #3232,403.0,79187.4,657.0,31912522.2
Panasonic Neo QLED TV (Space Gray) #1993,288.0,50532.59,292.0,14553385.919999998
Hitachi Classic Electric Kettle (Midnight Blue) #10412,225.0,9114.77,357.0,2050823.25
Sharp Pro Dishwasher (Arctic Silver) #8058,329.0,10046.5,853.0,3305298.5
Xiaomi Max Dishwasher (Rose Gold) #7789,216.0,17923.62,996.0,3871501.92
Sony Elite OLED TV (Midnight Blue) #1360,159.0,65518.83,557.0,10417493.97
Dyson Pro OLED TV (Midnight Blue) #1304,450.0,26313.59,755.0,11841115.5
LG Smart Refrigerator (Arctic Silver) #3627,472.0,78006.02,368.0,36818841.440000005
Bosch Classic Robot Vacuum (Arctic Silver) #9965,279.0,34847.07,283.0,9722332.53
Daikin Pro Air Conditioner (Space Gray) #5513,254.0,50686.76,649.0,12874437.040000001
Sony Elite Microwave (Rose Gold) #6910,130.0,38389.6,152.0,4990648.0
Panasonic Elite Robot Vacuum (Pearl White) #9313,427.0,52194.24,395.0,22286940.48
Bosch Neo Washing Machine (Midnight Blue) #4100,430.0,1167.94,548.0,502214.2
Panasonic Pro Microwave (Midnight Blue) #6703,226.0,8932.37,479.0,2018715.62
Daikin Turbo Dryer (Pearl White) #4898,132.0,27622.61,886.0,3646184.52
Bosch Max Microwave (Space Gray) #6440,364.0,24907.12,989.0,9066191.68
Bosch Prime Vacuum Cleaner (Jet Black) #8930,327.0,48682.21,480.0,15919082.67
Tefal Ultra OLED TV (Jet Black) #1621,395.0,55664.61,796.0,21987520.95
Philips Max Vacuum Cleaner (Space Gray) #8235,345.0,43784.4,942.0,15105618.0
Sharp Neo Refrigerator (Jet Black) #3498,498.0,74989.12,946.0,37344581.76
Sharp Classic OLED TV (Jet Black) #1713,171.0,63938.06,483.0,10933408.26
Panasonic Pro Robot Vacuum (Midnight Blue) #9403,394.0,45401.89,741.0,17888344.66
Philips Pro Washing Machine (Pearl White) #3855,276.0,75109.71,241.0,20730279.96
Xiaomi Elite Dryer (Jet Black) #5269,423.0,65106.45,945.0,27540028.349999998
Daikin Air Washing Machine (Pearl White) #3908,422.0,17771.11,328.0,7499408.42
Bosch Prime Vacuum Cleaner (Arctic Silver) #9080,206.0,73789.32,284.0,15200599.920000002
Samsung Ultra Air Conditioner (Space Gray) #5516,420.0,49484.94,55.0,20783674.8
Samsung Elite QLED TV (Midnight Blue) #2261,144.0,4807.51,559.0,692281.4400000001
Bosch Pro Washing Machine (Rose Gold) #4160,70.0,20825.65,60.0,1457795.5
Bosch Elite QLED TV (Space Gray) #1970,94.0,14830.32,909.0,1394050.08
Miele Pro Dryer (Midnight Blue) #4912,250.0,39129.37,704.0,9782342.5
Sharp Neo Air Conditioner (Jet Black) #6198,85.0,9619.32,53.0,817642.2
Whirlpool Turbo Robot Vacuum (Jet Black) #9846,190.0,43842.36,753.0,8330048.4
Dyson Classic OLED TV (Pearl White) #1259,50.0,32765.23,325.0,1638261.5
Bosch Max Dryer (Pearl White) #4790,169.0,10419.06,269.0,1760821.14
Hitachi Air Electric Kettle (Pearl White) #10202,6.0,22594.47,375.0,135566.82
Hitachi Max OLED TV (Rose Gold) #1487,295.0,54731.57,578.0,16145813.15
LG Classic Vacuum Cleaner (Jet Black) #8907,332.0,77648.37,228.0,25779258.84
Sharp Elite OLED TV (Rose Gold) #1518,41.0,2991.45,954.0,122649.45
LG Neo Robot Vacuum (Pearl White) #9342,199.0,28832.5,547.0,5737667.5
Whirlpool Pro OLED TV (Midnight Blue) #1311,31.0,42701.14,908.0,1323735.34
Tefal Smart Washing Machine (Rose Gold) #4231,278.0,32230.83,502.0,8960170.74
Miele Prime Vacuum Cleaner (Jet Black) #8932,477.0,37838.8,679.0,18049107.6
LG Classic Vacuum Cleaner (Pearl White) #8457,374.0,62477.71,991.0,23366663.54
Panasonic Max Electric Kettle (Arctic Silver) #10783,486.0,7816.74,969.0,3798935.6399999997
Sharp Smart Air Conditioner (Jet Black) #6183,298.0,17820.97,679.0,5310649.0600000005
Tefal Prime Vacuum Cleaner (Arctic Silver) #9076,342.0,52460.95,703.0,17941644.9
Tefal Air Dishwasher (Pearl White) #7501,444.0,40650.34,425.0,18048750.959999997
Bosch Max Dishwasher (Rose Gold) #7790,0.0,15395.68,751.0,0.0
LG Prime Vacuum Cleaner (Rose Gold) #8772,242.0,31199.44,484.0,7550264.4799999995
Hitachi Max Washing Machine (Space Gray) #3737,13.0,77267.97,874.0,1004483.61
Whirlpool Max Vacuum Cleaner (Jet Black) #8841,351.0,57844.7,695.0,20303489.7
Tefal Classic Microwave (Arctic Silver) #7261,286.0,29322.28,800.0,8386172.08
Sony Classic Robot Vacuum (Space Gray) #9205,328.0,24750.74,771.0,8118242.720000001
LG Air QLED TV (Midnight Blue) #2247,29.0,77507.88,137.0,2247728.52
Philips Max Electric Kettle (Midnight Blue) #10335,348.0,70251.31,664.0,24447455.88
Xiaomi Turbo Dryer (Rose Gold) #5194,472.0,18414.22,863.0,8691511.84
Philips Air Vacuum Cleaner (Arctic Silver) #9000,272.0,43424.87,323.0,11811564.64
Miele Ultra Vacuum Cleaner (Pearl White) #8377,286.0,70936.2,805.0,20287753.2
Mitsubishi Prime Washing Machine (Jet Black) #4434,264.0,32915.15,462.0,8689599.6
Whirlpool Prime Air Conditioner (Arctic Silver) #6381,422.0,70507.96,682.0,29754359.12
Daikin Air QLED TV (Space Gray) #1958,56.0,14165.06,274.0,793243.36
Whirlpool Classic OLED TV (Midnight Blue) #1416,45.0,34056.32,612.0,1532534.4
Whirlpool Max Microwave (Midnight Blue) #6741,96.0,39691.35,383.0,3810369.5999999996
Hitachi Prime Dishwasher (Midnight Blue) #7727,492.0,41539.47,48.0,20437419.240000002
Samsung Max Dryer (Arctic Silver) #5381,348.0,43938.81,415.0,15290705.879999999
Tefal Neo Air Conditioner (Jet Black) #6196,366.0,60956.97,321.0,22310251.02
LG Elite QLED TV (Pearl White) #2112,320.0,9319.79,97.0,2982332.8000000003
Panasonic Turbo Refrigerator (Arctic Silver) #3688,424.0,41614.45,902.0,17644526.799999997
Hitachi Ultra Dishwasher (Pearl White) #7472,42.0,64989.94,884.0,2729577.48
Mitsubishi Classic Robot Vacuum (Jet Black) #9819,329.0,11492.3,343.0,3780966.6999999997
Hitachi Pro Vacuum Cleaner (Jet Black) #8807,251.0,73007.29,163.0,18324829.79
Philips Classic Washing Machine (Jet Black) #4410,429.0,47915.67,774.0,20555822.43
Philips Smart OLED TV (Space Gray) #1080,400.0,78064.18,614.0,31225671.999999996
Sharp Classic Air Conditioner (Space Gray) #5613,234.0,26394.18,407.0,6176238.12
Sharp Ultra QLED TV (Rose Gold) #2373,394.0,46251.88,99.0,18223240.72
Xiaomi Pro QLED TV (Jet Black) #2509,159.0,70853.53,288.0,11265711.27
Hitachi Turbo Dishwasher (Space Gray) #7442,470.0,11031.44,323.0,5184776.8
Bosch Elite Washing Machine (Midnight Blue) #4070,186.0,73891.65,508.0,13743846.899999999
Sony Ultra Washing Machine (Midnight Blue) #4015,459.0,40371.14,359.0,18530353.259999998
Hitachi Ultra Air Conditioner (Midnight Blue) #5822,464.0,67575.43,155.0,31354999.519999996
Tefal Ultra Vacuum Cleaner (Jet Black) #8821,166.0,2036.96,884.0,338135.36
LG Neo OLED TV (Space Gray) #1092,255.0,12536.53,855.0,3196815.1500000004
Sony Prime Electric Kettle (Midnight Blue) #10420,7.0,49637.31,675.0,347461.17
Mitsubishi Turbo Dishwasher (Pearl White) #7599,235.0,65956.43,29.0,15499761.049999999
LG Neo Dryer (Arctic Silver) #5442,347.0,3248.23,864.0,1127135.81
Whirlpool Neo Vacuum Cleaner (Midnight Blue) #8601,216.0,73722.45,122.0,15924049.2
Xiaomi Smart Dryer (Pearl White) #4834,136.0,47710.57,330.0,6488637.52
Whirlpool Neo Electric Kettle (Jet Black) #10701,219.0,8350.47,660.0,1828752.93
Samsung Prime Dryer (Jet Black) #5321,427.0,24795.65,711.0,10587742.55
Panasonic Neo Washing Machine (Jet Black) #4393,483.0,6594.37,904.0,3185080.71
Whirlpool Neo Air Conditioner (Pearl White) #5751,169.0,72620.47,257.0,12272859.43
Daikin Ultra Vacuum Cleaner (Space Gray) #8228,272.0,77821.14,987.0,21167350.08
Bosch Max Electric Kettle (Pearl White) #10190,101.0,39807.1,863.0,4020517.0999999996
Philips Classic Refrigerator (Rose Gold) #3360,26.0,31069.05,563.0,807795.2999999999
Hitachi Neo QLED TV (Pearl White) #2147,158.0,37339.78,773.0,5899685.24
Bosch Classic Microwave (Pearl White) #6665,142.0,54868.82,345.0,7791372.44
Dyson Prime Vacuum Cleaner (Arctic Silver) #9074,167.0,15845.46,19.0,2646191.82
Hitachi Turbo Air Conditioner (Midnight Blue) #5942,272.0,10475.15,266.0,2849240.8
LG Elite Dryer (Space Gray) #4662,497.0,31539.0,443.0,15674883.0
LG Elite QLED TV (Jet Black) #2562,139.0,26744.12,182.0,3717432.6799999997
LG Elite Dryer (Rose Gold) #5112,193.0,5452.97,308.0,1052423.21
Dyson Air Electric Kettle (Space Gray) #10049,440.0,48979.7,346.0,21551068.0
Philips Prime Electric Kettle (Pearl White) #10275,496.0,3891.19,844.0,1930030.24
LG Turbo Robot Vacuum (Midnight Blue) #9537,51.0,51051.13,249.0,2603607.63
Mitsubishi Max OLED TV (Arctic Silver) #1794,326.0,36539.71,22.0,11911945.459999999
Panasonic Pro Microwave (Rose Gold) #6853,43.0,2898.83,167.0,124649.69
Daikin Classic Vacuum Cleaner (Midnight Blue) #8618,389.0,16840.02,877.0,6550767.78
Panasonic Neo QLED TV (Jet Black) #2593,475.0,43901.08,74.0,20853013.0
Hitachi Elite Vacuum Cleaner (Pearl White) #8417,64.0,8779.65,887.0,561897.6
Samsung Ultra Air Conditioner (Arctic Silver) #6266,289.0,21762.14,254.0,6289258.46
Tefal Neo Dishwasher (Arctic Silver) #8146,404.0,50992.42,223.0,20600937.68
Daikin Smart OLED TV (Space Gray) #1088,2.0,63249.37,562.0,126498.74
Xiaomi Turbo Robot Vacuum (Rose Gold) #9694,188.0,2302.09,928.0,432792.92000000004
Whirlpool Prime Electric Kettle (Jet Black) #10731,234.0,68931.39,54.0,16129945.26
Bosch Turbo Electric Kettle (Midnight Blue) #10445,348.0,19394.53,601.0,6749296.4399999995
Panasonic Pro Dishwasher (Rose Gold) #7753,134.0,76297.62,170.0,10223881.08
Tefal Air Washing Machine (Arctic Silver) #4501,444.0,15520.14,41.0,6890942.16
Daikin Prime Refrigerator (Midnight Blue) #3233,73.0,42056.45,821.0,3070120.8499999996
Miele Neo Washing Machine (Space Gray) #3802,269.0,74771.78,89.0,20113608.82
Daikin Elite Dryer (Arctic Silver) #5423,488.0,21474.63,266.0,10479619.440000001
Hitachi Classic Microwave (Pearl White) #6662,272.0,47629.42,731.0,12955202.24
Mitsubishi Classic Dishwasher (Arctic Silver) #8169,152.0,58636.38,141.0,8912729.76
Whirlpool Smart Robot Vacuum (Pearl White) #9336,255.0,73798.35,114.0,18818579.25
LG Air Refrigerator (Midnight Blue) #3147,55.0,41545.15,430.0,2284983.25
Panasonic Ultra Vacuum Cleaner (Arctic Silver) #8968,489.0,78181.39,124.0,38230699.71
Bosch Neo Dishwasher (Pearl White) #7550,400.0,10102.09,50.0,4040836.0
Hitachi Turbo Vacuum Cleaner (Midnight Blue) #8642,91.0,30724.22,965.0,2795904.02
Daikin Pro Microwave (Arctic Silver) #7163,156.0,77233.85,588.0,12048480.600000001
Xiaomi Turbo QLED TV (Rose Gold) #2494,364.0,22376.78,50.0,8145147.92
Sony Air Vacuum Cleaner (Rose Gold) #8695,337.0,20428.44,122.0,6884384.279999999
Daikin Max Dishwasher (Arctic Silver) #8093,452.0,60024.59,726.0,27131114.68
Daikin Air QLED TV (Rose Gold) #2408,147.0,19813.75,509.0,2912621.25
Sony Neo Dishwasher (Midnight Blue) #7690,204.0,43576.67,656.0,8889640.68
Bosch Neo Washing Machine (Jet Black) #4400,75.0,34866.36,507.0,2614977.0
Panasonic Classic OLED TV (Space Gray) #1108,426.0,26030.14,395.0,11088839.64
Bosch Smart Microwave (Pearl White) #6635,252.0,74479.0,195.0,18768708.0
Tefal Smart Robot Vacuum (Midnight Blue) #9481,262.0,66249.36,512.0,17357332.32
Panasonic Pro Dishwasher (Midnight Blue) #7603,83.0,33546.5,419.0,2784359.5
Bosch Max QLED TV (Pearl White) #2090,386.0,50453.98,20.0,19475236.28
Xiaomi Pro Microwave (Pearl White) #6559,469.0,56868.44,855.0,26671298.36
